Date,Year,CPI
01-01-1960,1960,18.9725686
01-01-1961,1961,19.9911037
01-01-1962,1962,21.35758367
01-01-1963,1963,22.79001663
01-01-1964,1964,23.65612602
01-01-1965,1965,25.23067563
01-01-1966,1966,26.50251161
01-01-1967,1967,27.55992156
01-01-1968,1968,29.0314651
01-01-1969,1969,30.55556503
01-01-1970,1970,32.67128546
01-01-1971,1971,34.76072814
01-01-1972,1972,36.44436996
01-01-1973,1973,40.67505968
01-01-1974,1974,50.12072202
01-01-1975,1975,56.00051732
01-01-1976,1976,61.25002618
01-01-1977,1977,66.2491473
01-01-1978,1978,69.03794888
01-01-1979,1979,71.59363083
01-01-1980,1980,77.16259995
01-01-1981,1981,80.95295257
01-01-1982,1982,83.17190615
01-01-1983,1983,84.75193925
01-01-1984,1984,86.66870071
01-01-1985,1985,88.43004908
01-01-1986,1986,88.95672678
01-01-1987,1987,89.06896957
01-01-1988,1988,89.67335381
01-01-1989,1989,91.71099212
01-01-1990,1990,94.53432995
01-01-1991,1991,97.60805554
01-01-1992,1992,99.32623361
01-01-1993,1993,100.5609043
01-01-1994,1994,101.2602632
01-01-1995,1995,101.1307523
01-01-1996,1996,101.2688973
01-01-1997,1997,103.0388797
01-01-1998,1998,103.7209705
01-01-1999,1999,103.366974
01-01-2000,2000,102.6676151
01-01-2001,2001,101.9078177
01-01-2002,2002,100.9667051
01-01-2003,2003,100.7076833
01-01-2004,2004,100.6990493
01-01-2005,2005,100.4141253
01-01-2006,2006,100.664513
01-01-2007,2007,100.7249514
01-01-2008,2008,102.1150352
01-01-2009,2009,100.7335855
01-01-2010,2010,100
01-01-2011,2011,99.72754438
01-01-2012,2012,99.68359993
01-01-2013,2013,100.0175778
01-01-2014,2014,102.7772895
01-01-2015,2015,103.5946564
01-01-2016,2016,103.462823
01-01-2017,2017,103.9637898
01-01-2018,2018,104.99209
01-01-2019,2019,105.4842679
01-01-2020,2020,105.4579012
01-01-2021,2021,105.2118123
